,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
1726, C Class,2019,35068,Semi-Auto,11226,145,45.6,Petrol,1.5
1728, C Class,2017,18896,Semi-Auto,16323,145,61.4,Diesel,2.1
1729, C Class,2014,15499,Semi-Auto,34527,30,61.4,Diesel,2.1
1730, C Class,2019,28995,Automatic,5650,145,58.9,Diesel,2.1
1731, C Class,2019,29995,Semi-Auto,1,145,57.7,Diesel,2.0
1732, C Class,2019,30995,Semi-Auto,1,145,46.3,Diesel,2.0
1733, C Class,2019,26995,Semi-Auto,1,145,54.3,Diesel,1.6
1734, C Class,2019,27995,Automatic,7396,145,57.7,Diesel,2.0
1735, C Class,2019,29995,Semi-Auto,9,145,42.8,Petrol,2.0
1736, C Class,2019,27950,Semi-Auto,6004,145,54.3,Diesel,2.0
1737, C Class,2016,16950,Automatic,24080,125,50.4,Petrol,2.0
1738, C Class,2019,40924,Automatic,5325,145,44.1,Petrol,2.0
1739, C Class,2015,17030,Automatic,32673,30,64.2,Diesel,2.1
1740, C Class,2018,26060,Automatic,8299,145,46.3,Petrol,1.5
1741, C Class,2019,30890,Automatic,4390,145,42.8,Petrol,2.0
1742, C Class,2018,26950,Semi-Auto,10798,145,57.7,Diesel,2.0
1743, C Class,2018,18649,Semi-Auto,38277,145,61.4,Diesel,2.1
1744, C Class,2019,30690,Automatic,4721,145,55.4,Diesel,2.0
1745, C Class,2017,40489,Automatic,23218,145,31.7,Petrol,4.0
1746, C Class,2015,16490,Semi-Auto,53126,30,64.2,Diesel,2.1
1747, C Class,2017,18979,Semi-Auto,27384,30,64.2,Diesel,2.1
1748, C Class,2017,44520,Automatic,12450,145,31.7,Petrol,4.0
1749, C Class,2017,17981,Semi-Auto,13881,145,64.2,Diesel,2.1
1750, C Class,2019,69950,Automatic,1079,145,27.2,Petrol,4.0
1751, C Class,2019,29990,Automatic,5500,145,42.8,Petrol,2.0
1752, C Class,2019,29990,Automatic,5376,145,44.1,Petrol,2.0
1753, C Class,2019,25989,Automatic,2997,145,44.1,Petrol,1.5
1754, C Class,2019,26990,Automatic,4042,145,42.2,Petrol,2.0
1755, C Class,2019,26990,Automatic,2368,145,42.2,Petrol,2.0
1756, C Class,2019,28989,Automatic,1409,145,57.7,Diesel,2.0
